"postcode","organisation_code","name","national_grouping","high_level_health_geography","address_line_1","address_line_2","address_line_3","address_line_4","address_line_5","open_date","close_date","status_code","organisation_sub_type_code","commissioner","join_provider_purchaser_date","left_provider_purchaser_date","contact_telephone_number","null_4","null_5","null_6","amended_record_indicator","null_7","provider_purchaser","null_8","prescribing_setting","null_10","pcd2","dointr","doterm","oseast100m","osnrth100m","oscty","odslaua","oslaua","osward","usertype","osgrdind","ctry","oshlthau","rgn","oldha","nhser","ccg","psed","cened","edind","ward98","oa01","nhsrlo","hro","lsoa01","ur01ind","msoa01","cannet","scn","oshaprev","oldpct","oldhro","pcon","canreg","pct","oseast1m","osnrth1m","oa11","lsoa11","msoa11","calncv","stp","geom"
"BB1 1LX","P81707","DR N NAGPAL'S PRACTICE","Y62","Q84","THE SURGERY","WILLIAM HOPWOOD ST,AUDLEY","BLACKBURN","LANCASHIRE","","19740401",,"A","B","00Q","20130401",,"01254 52522",,,,"0",,"00Q",,"4",,"BB1  1LX","198803",,"3692","4278","E99999999","324","E06000008","E05011508","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFH13","LSFH13","1","00EXMA","E00063406","Q84","Y51","E01012575","5","E02002621","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","369297","427869","E00063406","E01012575","E02002621","E56000018","E54000048","0101000020E610000037C151777CBC03C0A1EC7C3886DF4A40"
"BB1 1SB","P81724","PRINGLE STREET SURGERY","Y62","Q84","216-218 PRINGLE STREET","BLACKBURN","LANCASHIRE","","","19871019",,"A","B","00Q","20130401",,"01254 617690",,,,"0",,"00Q",,"4",,"BB1  1SB","198001",,"3692","4273","E99999999","324","E06000008","E05011508","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFQ09","LSFQ09","1","00EXMQ","E00063678","Q84","Y51","E01012630","5","E02002621","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","369257","427397","E00171891","E01012630","E02002621","E56000018","E54000048","0101000020E6100000BBFFF6BDA1BD03C0E5E66322FBDE4A40"
"BB1 1XA","P81167","STEPPING STONE PRACTICE","Y62","Q84","STEPPING STONE PRACTICE","LONGTON CLOSE","BLACKBURN","LANCASHIRE","","19740401",,"A","B","00Q","20130401",,"01254 617411",,,,"0",,"00Q",,"4",,"BB1  1XA","198001",,"3699","4280","E99999999","324","E06000008","E05011508","1","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFH12","LSFH12","1","00EXMA","E00063418","Q84","Y51","E01012576","5","E02002622","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","369983","428009","E00063418","E01012576","E02002622","E56000018","E54000048","0101000020E61000006F8ACD3336A703C038AB20C4B0DF4A40"
"BB1 2EG","Y02068","EAST LANCS MEDICAL SERVICE OOH","Y62","Q84","ST IVES HOUSE","ACCRINGTON RD, INTACK","BLACKBURN","LANCASHIRE","","20070801",,"A","B","00Q","20190601",,"01254 752100",,,,"0",,"AC0",,"2",,"BB1  2EG","200903",,"3709","4280","E99999999","324","E06000008","E05011513","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFS02","LSFS02","1","00EXMS","E00063701","Q84","Y51","E01012640","5","E02002622","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","370903","428024","E00063701","E01012640","E02002622","E56000018","E54000048","0101000020E6100000C641C314A58A03C064D74FE6B6DF4A40"
"BB1 2EG","Y03654","COMMUNITY VISITING SCHEME","Y62","Q84","EAST LANCS MED SERVICE","ACCRINGTON ROAD","BLACKBURN","LANCASHIRE","","20130201",,"A","B","00Q","20130401",,"01254 291140",,,,"0",,"00Q",,"9",,"BB1  2EG","200903",,"3709","4280","E99999999","324","E06000008","E05011513","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFS02","LSFS02","1","00EXMS","E00063701","Q84","Y51","E01012640","5","E02002622","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","370903","428024","E00063701","E01012640","E02002622","E56000018","E54000048","0101000020E6100000C641C314A58A03C064D74FE6B6DF4A40"
"BB1 2FD","Y04021","CCG PHARMACIST PRESCRIBERS","Y62","Q84","FUSION HOUSE,EVOLUTION PK","HASLINGDEN ROAD","BLACKBURN","LANCASHIRE","","20130401",,"A","B","00Q","20130401",,"01254 282087",,,,"0",,"00Q",,"9",,"BB1  2FD","200801",,"3700","4264","E99999999","324","E06000008","E05011513","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFQ13","LSFQ13","1","00EXMQ","E00063670","Q84","Y51","E01012632","5","E02002625","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","370045","426411","E00171893","E01012632","E02002625","E56000018","E54000048","0101000020E6100000959950D1F7A403C088F54F41DADD4A40"
"BB1 2FD","Y06063","ABOUT HEALTH LTD","Y62","Q84","EVOLUTION PARK","HASLINGDEN ROAD","BLACKBURN","LANCASHIRE","","20180430",,"A","B","00Q","20180430",,"01254 282930",,,,"0",,"NPR",,"9",,"BB1  2FD","200801",,"3700","4264","E99999999","324","E06000008","E05011513","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFQ13","LSFQ13","1","00EXMQ","E00063670","Q84","Y51","E01012632","5","E02002625","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","370045","426411","E00171893","E01012632","E02002625","E56000018","E54000048","0101000020E6100000959950D1F7A403C088F54F41DADD4A40"
"BB1 2FD","Y02492","COMMUNITY INTERMEDIATE CARE SERVICE","Y62","Q84","FUSION HOUSE,EVOLUTION PK","HASLINGDEN ROAD","BLACKBURN","LANCASHIRE","","20090101",,"A","B","00Q","20130401",,"01254 282000",,,,"0",,"00Q",,"9",,"BB1  2FD","200801",,"3700","4264","E99999999","324","E06000008","E05011513","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFQ13","LSFQ13","1","00EXMQ","E00063670","Q84","Y51","E01012632","5","E02002625","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","370045","426411","E00171893","E01012632","E02002625","E56000018","E54000048","0101000020E6100000959950D1F7A403C088F54F41DADD4A40"
"BB1 2FD","Y03742","ABOUT HEALTH LN DERMATOLOGY","Y62","Q84","FUSION HSE,EVOLUTION PARK","HASLINGDEN ROAD","BLACKBURN","LANCASHIRE","","20130401",,"A","B","01K","20130401",,"01254 282930",,,,"0",,"01K",,"10",,"BB1  2FD","200801",,"3700","4264","E99999999","324","E06000008","E05011513","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFQ13","LSFQ13","1","00EXMQ","E00063670","Q84","Y51","E01012632","5","E02002625","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","370045","426411","E00171893","E01012632","E02002625","E56000018","E54000048","0101000020E6100000959950D1F7A403C088F54F41DADD4A40"
"BB1 2FD","Y05945","INTEGRATED COMMUNITY DERMATOLOGY SERVICE","Y61","Q79","ABOUT HLTH INNOVATION CTR","HASLINGDEN ROAD","BLACKBURN","","","20171120",,"A","B","99F","20171120",,"01254 282930",,,,"0",,"99F",,"0",,"BB1  2FD","200801",,"3700","4264","E99999999","324","E06000008","E05011513","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFQ13","LSFQ13","1","00EXMQ","E00063670","Q84","Y51","E01012632","5","E02002625","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","370045","426411","E00171893","E01012632","E02002625","E56000018","E54000048","0101000020E6100000959950D1F7A403C088F54F41DADD4A40"
