"id","time","lat","lng","tme","optim_var","geom"
"fid--a7cdb96_174365e6aab_3b29",796,53.8306,-2.22598,796,8.44065,"0103000020E6100000010000001700000062105839B4C801C05F07CE1951EA4A40022B8716D9CE01C0431CEBE236EA4A40C6DCB5847CD001C06E3480B740EA4A40DE9387855AD301C05F07CE1951EA4A404F401361C3D301C08A1F63EE5AEA4A4031992A1895D401C05F984C158CEA4A40C0EC9E3C2CD401C0265305A392EA4A4052B81E85EBD101C05F29CB10C7EA4A40022B8716D9CE01C097FF907EFBEA4A40CDCCCCCCCCCC01C05EBA490C02EB4A402A3A92CB7FC801C0508D976E12EB4A409E5E29CB10C701C0EC2FBB270FEB4A408A1F63EE5AC201C02575029A08EB4A40A8C64B3789C101C02575029A08EB4A40371AC05B20C101C05EBA490C02EB4A40AB3E575BB1BF01C017B7D100DEEA4A40E4141DC9E5BF01C05F29CB10C7EA4A40736891ED7CBF01C07B832F4CA6EA4A401973D712F2C101C05F984C158CEA4A408A1F63EE5AC201C098DD938785EA4A4080B74082E2C701C027C286A757EA4A402A3A92CB7FC801C05F07CE1951EA4A4062105839B4C801C05F07CE1951EA4A40"
"fid--a7cdb96_174365e6aab_-d23",886,53.83,-2.22552,886,4.9083,"0106000020E61000000200000001030000000100000029000000E7FBA9F1D2CD01C05EBA490C02EB4A40D3BCE3141DC901C07AA52C431CEB4A4048E17A14AEC701C04260E5D022EB4A40DD24068195C301C0B3EA73B515EB4A406FF085C954C101C05EBA490C02EB4A401CEBE2361AC001C097FF907EFBEA4A40736891ED7CBF01C0098A1F63EEEA4A4076E09C11A5BD01C050FC1873D7EA4A40D0D556EC2FBB01C0ED9E3C2CD4EA4A400F9C33A2B4B701C0ED9E3C2CD4EA4A40D93D7958A8B501C009F9A067B3EA4A406891ED7C3FB501C0A69BC420B0EA4A40F7E461A1D6B401C018265305A3EA4A404E62105839B401C0D122DBF97EEA4A40C976BE9F1AAF01C00A68226C78EA4A40F7E461A1D6B401C0FCA9F1D24DEA4A406891ED7C3FB501C00AD7A3703DEA4A40BC96900F7AB601C07C61325530EA4A407DD0B359F5B901C00B46257502EA4A40D0D556EC2FBB01C0E02D90A0F8E94A405839B4C876BE01C08BFD65F7E4E94A406FF085C954C101C036CD3B4ED1E94A4052499D8026C201C00BB5A679C7E94A4048E17A14AEC701C0FDF675E09CE94A4041F163CC5DCB01C0280F0BB5A6E94A40234A7B832FCC01C00BB5A679C7E94A40EB73B515FBCB01C060E5D022DBE94A403E7958A835CD01C00B46257502EA4A403E7958A835CD01C0D200DE0209EA4A40E7FBA9F1D2CD01C0FC1873D712EA4A40022B8716D9CE01C0E0BE0E9C33EA4A40705F07CE19D101C00AD7A3703DEA4A403411363CBDD201C0984C158C4AEA4A40C0EC9E3C2CD401C051DA1B7C61EA4A40696FF085C9D401C043AD69DE71EA4A40A245B6F3FDD401C00A68226C78EA4A40C0EC9E3C2CD401C0265305A392EA4A40FB3A70CE88D201C009F9A067B3EA4A40FB3A70CE88D201C0FBCBEEC9C3EA4A40E10B93A982D101C0098A1F63EEEA4A40E7FBA9F1D2CD01C05EBA490C02EB4A4001030000000100000007000000832F4CA60AC601C0FE65F7E461E94A4052499D8026C201C00B24287E8CE94A406FF085C954C101C0FDF675E09CE94A40FE43FAEDEBC001C0D3DEE00B93E94A40FE43FAEDEBC001C00B24287E8CE94A406FF085C954C101C00B24287E8CE94A40832F4CA60AC601C0FE65F7E461E94A40"
"fid--a7cdb96_1744a90da3e_-6b33",507,53.7698,-2.68661,507,3.7429,"0103000020E61000000100000017000000645DDC46037805C0FBCBEEC9C3E24A40857CD0B3597505C018265305A3E24A40BD5296218E7505C0FB3A70CE88E24A409FABADD85F7605C0EE7C3F355EE24A409FABADD85F7605C0FCA9F1D24DE24A40645DDC46037805C06E3480B740E24A40ECC039234A7B05C07C61325530E24A4003780B24287E05C08A8EE4F21FE24A40A60A4625758205C052499D8026E24A40A3923A014D8405C0B5A679C729E24A4082734694F68605C0431CEBE236E24A40B7D100DE028905C0FCA9F1D24DE24A40287E8CB96B8905C08A1F63EE5AE24A407B832F4CA68A05C0A60A462575E24A4025068195438B05C03480B74082E24A4096B20C71AC8B05C0FB3A70CE88E24A407B832F4CA68A05C08AB0E1E995E24A402F6EA301BC8505C0FBCBEEC9C3E24A40A3923A014D8405C0C286A757CAE24A4017B7D100DE8205C0ED9E3C2CD4E24A4003780B24287E05C06DE7FBA9F1E24A407E8CB96B097905C0D044D8F0F4E24A40645DDC46037805C0FBCBEEC9C3E24A40"
"fid--a7cdb96_174365e6aab_-1c93",1177,53.8317,-2.22522,1177,3.72644,"0103000020E6100000010000002C0000003E7958A835CD01C0A54E401361EB4A409E5E29CB10C701C02497FF907EEB4A40371AC05B20C101C0A4DFBE0E9CEB4A40C66D3480B7C001C0DDB5847CD0EB4A404182E2C798BB01C016FBCBEEC9EB4A40265305A392BA01C016FBCBEEC9EB4A4012143FC6DCB501C0B29DEFA7C6EB4A404E62105839B401C0EBE2361AC0EB4A40FB5C6DC5FEB201C03255302AA9EB4A4036AB3E575BB101C0A4DFBE0E9CEB4A401C7C613255B001C0EC51B81E85EB4A4051DA1B7C61B201C0A54E401361EB4A40A857CA32C4B101C05E4BC8073DEB4A406F8104C58FB101C0A5BDC11726EB4A404E62105839B401C0098A1F63EEEA4A408638D6C56DB401C0A52C431CEBEA4A40265305A392BA01C06D567DAEB6EA4A405F29CB10C7BA01C0A69BC420B0EA4A40C66D3480B7C001C08AB0E1E995EA4A404ED1915CFEC301C0A60A462575EA4A409E5E29CB10C701C08A1F63EE5AEA4A4005A3923A01CD01C0A779C7293AEA4A403E7958A835CD01C0A779C7293AEA4A403411363CBDD201C06E3480B740EA4A40166A4DF38ED301C0D1915CFE43EA4A4013F241CF66D501C0A779C7293AEA4A40B6847CD0B3D901C01904560E2DEA4A404260E5D022DB01C01904560E2DEA4A404260E5D022DB01C0A779C7293AEA4A40B6847CD0B3D901C0D1915CFE43EA4A40D42B6519E2D801C0A60A462575EA4A40107A36AB3ED701C05F984C158CEA4A40B6847CD0B3D901C018265305A3EA4A4091ED7C3F35DE01C098DD938785EA4A40098A1F63EEDA01C0A69BC420B0EA4A40956588635DDC01C0894160E5D0EA4A400612143FC6DC01C0A52C431CEBEA4A40D0B359F5B9DA01C07AA52C431CEB4A4098DD938785DA01C0A5BDC11726EB4A40B6847CD0B3D901C0C1A8A44E40EB4A40637FD93D79D801C03333333333EB4A40166A4DF38ED301C02506819543EB4A40764F1E166ACD01C041F163CC5DEB4A403E7958A835CD01C0A54E401361EB4A40"
"fid--a7cdb96_1744a90da3e_-2077",822,53.7627,-2.47404,822,3.5525,"0103000020E61000000100000023000000D0B359F5B9DA03C07E8CB96B09E14A409B559FABADD803C0613255302AE14A40B9FC87F4DBD703C0FE65F7E461E14A404850FC1873D703C061C3D32B65E14A40B9FC87F4DBD703C09A99999999E14A40B9FC87F4DBD703C061545227A0E14A408126C286A7D703C0FD87F4DBD7E14A400C022B8716D903C060E5D022DBE14A40107A36AB3ED703C0EE5A423EE8E14A4013F241CF66D503C0B515FBCBEEE14A40705F07CE19D103C0E02D90A0F8E14A40CA54C1A8A4CE03C01973D712F2E14A40986E1283C0CA03C052B81E85EBE14A40B515FBCBEEC903C08BFD65F7E4E14A40B98D06F016C803C060E5D022DBE14A402DB29DEFA7C603C00BB5A679C7E14A40F853E3A59BC403C0B6847CD0B3E14A404ED1915CFEC303C0280F0BB5A6E14A40DD24068195C303C061545227A0E14A401973D712F2C103C07DAEB6627FE14A40C66D3480B7C003C061C3D32B65E14A408D976E1283C003C00C93A98251E14A40FE43FAEDEBC003C0613255302AE14A40A54E401361C303C0F0164850FCE04A406C787AA52CC303C062A1D634EFE04A40F853E3A59BC403C029CB10C7BAE04A404B598638D6C503C037894160E5E04A40986E1283C0CA03C0D42B6519E2E04A40C6DCB5847CD003C029CB10C7BAE04A405C2041F163CC03C062A1D634EFE04A4058A835CD3BCE03C07E8CB96B09E14A40705F07CE19D103C0454772F90FE14A404F401361C3D303C0A9A44E4013E14A40107A36AB3ED703C0371AC05B20E14A40D0B359F5B9DA03C07E8CB96B09E14A40"
"fid--a7cdb96_1744a90da3e_-18c1",1404,53.7638,-2.47695,1404,3.47835,"0103000020E6100000010000003A00000037894160E5D003C0FF21FDF675E04A4013F241CF66D503C09CC420B072E04A40D7A3703D0AD703C0C6DCB5847CE04A409B559FABADD803C01B0DE02D90E04A400612143FC6DC03C0AA8251499DE04A4077BE9F1A2FDD03C00DE02D90A0E04A4077BE9F1A2FDD03C0713D0AD7A3E04A404FAF946588E303C00DE02D90A0E04A408BFD65F7E4E103C0A913D044D8E04A40A52C431CEBE203C070CE88D2DEE04A404FAF946588E303C0D42B6519E2E04A40F241CF66D5E703C0FE43FAEDEBE04A40EFC9C342ADE903C054742497FFE04A4009F9A067B3EA03C07E8CB96B09E14A40B37BF2B050EB03C0A9A44E4013E14A40EFC9C342ADE903C07E1D386744E14A407E1D386744E903C0A835CD3B4EE14A408195438B6CE703C061C3D32B65E14A403108AC1C5AE403C0A8C64B3789E14A401361C3D32BE503C019E25817B7E14A40A2B437F8C2E403C0A857CA32C4E14A404FAF946588E303C060E5D022DBE14A40AC1C5A643BDF03C0A7E8482EFFE14A4077BE9F1A2FDD03C0C3D32B6519E24A40B30C71AC8BDB03C099BB96900FE24A40D7A3703D0AD703C0EEEBC03923E24A40166A4DF38ED303C08A8EE4F21FE24A4037894160E5D003C08A8EE4F21FE24A40764F1E166ACD03C08A8EE4F21FE24A407AC7293A92CB03C0A7E8482EFFE14A407AC7293A92CB03C07DD0B359F5E14A405F984C158CCA03C07DD0B359F5E14A402A3A92CB7FC803C060E5D022DBE14A404B598638D6C503C0A857CA32C4E14A404B598638D6C503C019E25817B7E14A40BF7D1D3867C403C05227A089B0E14A4052499D8026C203C061545227A0E14A40C9E53FA4DFBE03C0A8C64B3789E14A4002BC051214BF03C07DAEB6627FE14A40E78C28ED0DBE03C0C520B07268E14A40265305A392BA03C0EF38454772E14A404772F90FE9B703C0FE65F7E461E14A402D431CEBE2B603C0D34D621058E14A40BC96900F7AB603C0A835CD3B4EE14A4030BB270F0BB503C0C58F31772DE14A404E62105839B403C0A9A44E4013E14A40F7E461A1D6B403C0295C8FC2F5E04A4012143FC6DCB503C0A913D044D8E04A404772F90FE9B703C0F085C954C1E04A40EA04341136BC03C0AA8251499DE04A40E78C28ED0DBE03C07F6ABC7493E04A40FBCBEEC9C3C203C09CC420B072E04A4052499D8026C203C0AA8251499DE04A4016FBCBEEC9C303C0713D0AD7A3E04A40BF7D1D3867C403C0713D0AD7A3E04A405F984C158CCA03C00DE02D90A0E04A40986E1283C0CA03C0AA8251499DE04A4037894160E5D003C0FF21FDF675E04A40"
"fid--a7cdb96_174365e6aab_4351",806,53.8305,-2.21276,806,3.25226,"0103000020E61000000100000033000000DDB5847CD0B301C0508D976E12EB4A4051DA1B7C61B201C089D2DEE00BEB4A4005C58F3177AD01C0C217265305EB4A405B423EE8D9AC01C0C217265305EB4A400E2DB29DEFA701C0FB5C6DC5FEEA4A4065AA605452A701C0FB5C6DC5FEEA4A4065AA605452A701C097FF907EFBEA4A40A7E8482EFFA101C0D044D8F0F4EA4A40A7E8482EFFA101C0FBCBEEC9C3EA4A40363CBD5296A101C03411363CBDEA4A408CB96B09F9A001C0516B9A779CEA4A401B0DE02D90A001C05F984C158CEA4A401B0DE02D90A001C0FB3A70CE88EA4A4001DE02098A9F01C08A1F63EE5AEA4A40CFF753E3A59B01C0FCA9F1D24DEA4A4007CE1951DA9B01C0D1915CFE43EA4A4001DE02098A9F01C0FC1873D712EA4A408CB96B09F9A001C01973D712F2E94A401895D40968A201C0FD87F4DBD7E94A40DC4603780BA401C07D3F355EBAE94A40A1F831E6AEA501C0FDF675E09CE94A4065AA605452A701C0D3DEE00B93E94A40F085C954C1A801C00B24287E8CE94A4005C58F3177AD01C07DAEB6627FE94A40FED478E926B101C01A51DA1B7CE94A40DDB5847CD0B301C0B6F3FDD478E94A400B24287E8CB901C061C3D32B65E94A407DD0B359F5B901C0C520B07268E94A40D0D556EC2FBB01C06F8104C58FE94A4055C1A8A44EC001C0E10B93A982E94A408A1F63EE5AC201C0A8C64B3789E94A40302AA913D0C401C0FDF675E09CE94A40832F4CA60AC601C061545227A0E94A40832F4CA60AC601C0FD87F4DBD7E94A40832F4CA60AC601C060E5D022DBE94A40F5DBD78173C601C08BFD65F7E4E94A4041F163CC5DCB01C08BFD65F7E4E94A407D3F355EBAC901C0FC1873D712EA4A40EEEBC03923CA01C0B5A679C729EA4A4041F163CC5DCB01C0FCA9F1D24DEA4A4041F163CC5DCB01C08A1F63EE5AEA4A40EEEBC03923CA01C0FB3A70CE88EA4A40091B9E5E29CB01C08AB0E1E995EA4A40B98D06F016C801C0FBCBEEC9C3EA4A40F5DBD78173C601C050FC1873D7EA4A408A1F63EE5AC201C0A52C431CEBEA4A4055C1A8A44EC001C0DE718A8EE4EA4A4097FF907EFBBA01C0FB5C6DC5FEEA4A407DD0B359F5B901C0C217265305EB4A4062A1D634EFB801C02575029A08EB4A40DDB5847CD0B301C0508D976E12EB4A40"
"fid--a7cdb96_174365e6aab_1f75",804,53.8288,-2.22612,804,3.23648,"0103000020E6100000010000001F0000009F3C2CD49AE601C0EF38454772E94A40A52C431CEBE201C061545227A0E94A406ADE718A8EE401C044FAEDEBC0E94A4017D9CEF753E301C060E5D022DBE94A408BFD65F7E4E101C07DD0B359F5E94A40AC1C5A643BDF01C060764F1E16EA4A40B30C71AC8BDB01C0A779C7293AEA4A40637FD93D79D801C0E0BE0E9C33EA4A4013F241CF66D501C00AD7A3703DEA4A406DE7FBA9F1D201C01904560E2DEA4A403B014D840DCF01C060764F1E16EA4A4005A3923A01CD01C0B515FBCBEEE94A40B29DEFA7C6CB01C060E5D022DBE94A40B29DEFA7C6CB01C044FAEDEBC0E94A40B29DEFA7C6CB01C061545227A0E94A40917EFB3A70CE01C0287E8CB96BE94A409BE61DA7E8C801C0287E8CB96BE94A4069006F8104C501C0A8C64B3789E94A40F163CC5D4BC801C061C3D32B65E94A409BE61DA7E8C801C029ED0DBE30E94A40E7FBA9F1D2CD01C0F0A7C64B37E94A403B014D840DCF01C0F0A7C64B37E94A40E4839ECDAACF01C09A081B9E5EE94A4013F241CF66D501C0A835CD3B4EE94A404850FC1873D701C00C93A98251E94A40B30C71AC8BDB01C0D34D621058E94A4038F8C264AAE001C08C4AEA0434E94A40E86A2BF697DD01C061C3D32B65E94A40569FABADD8DF01C0B6F3FDD478E94A408BFD65F7E4E101C00B24287E8CE94A409F3C2CD49AE601C0EF38454772E94A40"
"fid--a7cdb96_1744a4e055b_3a8a",529,53.7696,-2.69392,529,3.03464,"0103000020E6100000010000001A0000005E4BC8073D9B05C0A60A462575E24A40787AA52C439C05C03480B74082E24A409A999999999905C0D0B359F5B9E24A409A999999999905C03411363CBDE24A40FA7E6ABC749305C042CF66D5E7E24A4075931804568E05C0098A1F63EEE24A40228E75711B8D05C0098A1F63EEE24A40D578E926318805C0098A1F63EEE24A4082734694F68605C0DE718A8EE4E24A40A3923A014D8405C050FC1873D7E24A40508D976E128305C03411363CBDE24A40A60A4625758205C0423EE8D9ACE24A40AA8251499D8005C0ED0DBE3099E24A40567DAEB6627F05C0C3F5285C8FE24A40ADFA5C6DC57E05C03480B74082E24A40AA8251499D8005C0FCA9F1D24DE24A401B2FDD24068105C035EF384547E24A4082734694F68605C07C61325530E24A40D200DE02098A05C01904560E2DE24A40228E75711B8D05C0B5A679C729E24A401B9E5E29CB9005C052499D8026E24A40FA7E6ABC749305C0B5A679C729E24A40F7065F984C9505C0431CEBE236E24A4061C3D32B659905C035EF384547E24A409A999999999905C0984C158C4AE24A405E4BC8073D9B05C0A60A462575E24A40"
"fid--a7cdb96_1744a90da3e_2823",738,53.7643,-2.51608,738,2.91777,"0103000020E6100000010000001500000004560E2DB21D04C01AC05B2041E14A4054E3A59BC42004C09A081B9E5EE14A408CB96B09F92004C09A081B9E5EE14A40FAEDEBC0392304C0E10B93A982E14A40BE9F1A2FDD2404C09A99999999E14A406F1283C0CA2104C0D26F5F07CEE14A40FE65F7E4612104C0992A1895D4E14A408CB96B09F92004C0FD87F4DBD7E14A40E3361AC05B2004C060E5D022DBE14A40ED9E3C2CD41A04C0992A1895D4E14A40B4C876BE9F1A04C036CD3B4ED1E14A40A089B0E1E91504C00BB5A679C7E14A4014AE47E17A1404C0280F0BB5A6E14A406B2BF697DD1304C061545227A0E14A406B2BF697DD1304C09A99999999E14A40FA7E6ABC741304C0C520B07268E14A40C1A8A44E401304C09A081B9E5EE14A4014AE47E17A1404C0A835CD3B4EE14A400EBE30992A1804C0B7627FD93DE14A40B4C876BE9F1A04C0613255302AE14A4004560E2DB21D04C01AC05B2041E14A40"
