"row.names","cost","count","type"
"1",122.58,681,"OP"
"2",50.23,12330,"OP"
"3",146.74,20,"OP"
"4",321,784,"OP"
"5",76,108009,"OP"
"6",312,9228,"OP"
"7",414,14244,"OP"
"8",42,373,"OP"
"9",293.3,79,"OP"
"10",29.92,19422,"OP"
"11",90.53,2797,"OP"
"12",139.42,142,"OP"
"13",49.98,63,"OP"
"14",254,28379,"OP"
"15",226.32,317,"OP"
"16",291.62,22,"OP"
"17",136,292544,"OP"
"18",201.28,1364,"OP"
"19",574,688,"OP"
"20",108.85,1168,"OP"
"21",98.85,35,"OP"
"22",216.3,6,"OP"
"23",97.89,261,"OP"
"24",63.04,6181,"OP"
"25",142,228565,"OP"
"26",487,545,"OP"
"27",222.35,402,"OP"
"28",263.4,213,"OP"
"29",513,298,"OP"
"30",126.45,469,"OP"
"31",140.66,13171,"OP"
"32",147.87,2959,"OP"
"33",180.08,5296,"OP"
"34",213.68,13,"OP"
"35",303.04,384,"OP"
"36",70.18,834,"OP"
"37",102.9,3004,"OP"
"38",443.8,2,"OP"
"39",56.57,175,"OP"
"40",160.28,5,"OP"
"41",403.77,44,"OP"
"42",174.91,888,"OP"
"43",144.92,2151,"OP"
"44",299.53,14024,"OP"
"45",195.47,92,"OP"
"46",92,51392,"OP"
"47",48.74,15743,"OP"
"48",50.62,6325,"OP"
"49",217.45,829,"OP"
"50",177.45,33,"OP"
"51",101.61,377,"OP"
"52",151.93,15,"OP"
"53",46.91,2262,"OP"
"54",227.25,1007,"OP"
"55",64.43,3515,"OP"
"56",667.58,138,"OP"
"57",193.73,897,"OP"
"58",349.97,13911,"OP"
"59",102.44,379,"OP"
"60",59.6,3091,"OP"
"61",282,58625,"OP"
"62",190,62473,"OP"
"63",198,35490,"OP"
"64",104.13,885,"OP"
"65",169.51,23,"OP"
"66",62.48,2815,"OP"
"67",80.84,16,"OP"
"68",123.88,25,"OP"
"69",147.73,1,"OP"
"70",261.42,17613,"OP"
"71",215.31,3553,"OP"
"72",109.42,301,"OP"
"73",276,8170,"OP"
"74",206,42170,"OP"
"75",107.22,183,"OP"
"76",303.38,66,"OP"
"77",135.61,37,"OP"
"78",290.51,4,"OP"
"79",168.6,21,"OP"
"80",295.41,29,"OP"
"81",126.9,17,"OP"
"82",86.94,10,"OP"
"83",73.13,12,"OP"
"84",318.18,12,"OP"
"85",36,931,"OP"
"86",338.89,2154,"OP"
"87",261.78,27,"OP"
"88",154.66,11445,"OP"
"89",70.77,253,"OP"
"90",196,29419,"OP"
"91",407.07,3326,"OP"
"92",88.62,175,"OP"
"93",467.09,308,"OP"
"94",127.48,849,"OP"
"95",170.91,777,"OP"
"96",436.33,107,"OP"
"97",319.85,1562,"OP"
"98",108.69,1446,"OP"
"99",74.35,3742,"OP"
"100",328.19,98,"OP"
"101",68.37,37529,"OP"
"102",93.39,1780,"OP"
"103",36.24,30246,"OP"
"104",77.77,671,"OP"
"105",629.95,694,"OP"
"106",299.26,4077,"OP"
"107",445,156,"OP"
"108",400,964,"OP"
"109",60.05,4569,"OP"
"110",146.61,71,"OP"
"111",126.19,2733,"OP"
"112",338.32,2752,"OP"
"113",175.35,17,"OP"
"114",223.07,10,"OP"
"115",194.73,45,"OP"
"116",131.58,9283,"OP"
"117",58.22,577,"OP"
"118",206.57,16,"OP"
"119",208.78,2889,"OP"
"120",128.2,9827,"OP"
"121",89.08,73,"OP"
"122",477.42,35,"OP"
"123",170.86,6,"OP"
"124",130.33,50,"OP"
"125",146.7,1685,"OP"
"126",78.92,23,"OP"
"127",266.28,115,"OP"
"128",499.05,21,"OP"
"129",205.01,20,"OP"
"130",207.05,3433,"OP"
"131",82.06,45060,"OP"
"132",138.51,848,"OP"
"133",58.45,30917,"OP"
"134",166.32,5835,"OP"
"135",614.91,6,"OP"
"136",141.59,9,"OP"
"137",166.75,6,"OP"
"138",165.92,298,"OP"
"139",152.15,2193,"OP"
"140",161.63,1844,"OP"
"141",77.67,13,"OP"
"142",103.14,49,"OP"
"143",199.18,119,"OP"
"144",65.55,471,"OP"
"145",146.48,17,"OP"
"146",549.17,111,"OP"
"147",176.06,41,"OP"
"148",135.75,11,"OP"
"149",760,106,"OP"
"150",596,3,"OP"
"151",420,230,"OP"
"152",19,5735,"OP"
"153",360,1318,"OP"
"154",40,646,"OP"
"155",74.57,5,"OP"
"156",64.22,23,"OP"
"157",96.28,2390,"OP"
"158",118.37,19,"OP"
"159",136.07,537,"OP"
"160",249.46,21,"OP"
"161",161.38,4,"OP"
"162",350.44,4,"OP"
"163",59.89,59,"OP"
"164",49.86,3,"OP"
"165",110.04,45,"OP"
"166",124.13,7929,"OP"
"167",81.29,5763,"OP"
"168",215.47,620,"OP"
"169",343.17,218,"OP"
"170",131.04,18,"OP"
"171",97.18,16,"OP"
"172",491.64,13,"OP"
"173",184.8,37,"OP"
"174",213.55,2809,"OP"
"175",208.96,3845,"OP"
"176",56.28,36994,"OP"
"177",53.88,2,"OP"
"178",173.25,3672,"OP"
"179",162.47,158,"OP"
"180",110.02,33,"OP"
"181",221.71,1,"OP"
"182",102.84,125,"OP"
"183",191.92,1180,"OP"
"184",96.13,38,"OP"
"185",380.83,3,"OP"
"186",62.17,12937,"OP"
"187",150.19,5,"OP"
"188",126.13,9,"OP"
"189",223.38,4,"OP"
"190",207.96,3,"OP"
"191",151.3,3,"OP"
"192",136.06,198,"OP"
"193",218.2,4,"OP"
"194",137.01,27,"OP"
"195",267.73,74,"OP"
"196",229.15,80,"OP"
"197",254.48,4,"OP"
"198",169.31,15649,"OP"
"199",96.21,174,"OP"
"200",170.22,1,"OP"
"201",142.7,536,"OP"
"202",302.97,96,"OP"
"203",178.64,10,"OP"
"204",116.41,4,"OP"
"205",384.77,94,"OP"
"206",236.59,1461,"OP"
"207",22.88,113,"OP"
"208",164.23,13,"OP"
"209",176.22,6,"OP"
"210",108.9,793,"OP"
"211",114.34,45,"OP"
"212",135.24,20,"OP"
"213",119.47,114,"OP"
"214",244.22,21,"OP"
"215",511.82,74,"OP"
"216",351.75,559,"OP"
"217",239.12,11,"OP"
"218",180.8,138,"OP"
"219",381.35,10,"OP"
"220",79.47,13,"OP"
"221",230.6,4917,"OP"
"222",194.56,47,"OP"
"223",261.03,108,"OP"
"224",203.56,230,"OP"
"225",84.56,6,"OP"
"226",239.1,30,"OP"
"227",107.58,2,"OP"
"228",100.7,1,"OP"
"229",90.47,696,"OP"
"230",150.87,632,"OP"
"231",52.25,16,"OP"
"232",158.52,384,"OP"
"233",269.85,670,"OP"
"234",173.61,17,"OP"
"235",166.78,61,"OP"
"236",92.18,53,"OP"
"237",193.71,8,"OP"
"238",193.48,7,"OP"
"239",65.39,3,"OP"
"240",496.53,11,"OP"
"241",162.26,9,"OP"
"242",165.55,5,"OP"
"243",101.86,11,"OP"
"244",357.2,76,"OP"
"245",216.11,88,"OP"
"246",359.5,2,"OP"
"247",321.39,1,"OP"
"248",115.97,50,"OP"
"249",230.39,1,"OP"
"250",202.34,10,"OP"
"251",163.88,13,"OP"
"252",51.81,2,"OP"
"253",137.85,10,"OP"
"254",400.53,7,"OP"
"255",187.15,3,"OP"
"256",87.06,480,"OP"
"257",287,44570,"OP"
"258",43.51,868,"OP"
"259",164.4,22691,"OP"
"260",313,8448,"OP"
"261",124.3,26149,"OP"
"262",389.5,116,"OP"
"263",792.3,770,"OP"
"264",163.41,812,"OP"
"265",202.41,33,"OP"
"266",266.58,160,"OP"
"267",78.04,25,"OP"
"268",363,179,"OP"
"269",84.75,419,"OP"
"270",88.92,9,"OP"
"271",123.25,53,"OP"
"272",208.45,238,"OP"
"273",140.08,329,"OP"
"274",160.84,3,"OP"
"275",139.09,4891,"OP"
"276",98.78,541,"OP"
"277",1267,6,"OP"
"278",21.43,6038,"OP"
"279",144,208550,"OP"
"280",112.91,191,"OP"
"281",37.76,6503,"OP"
"282",407.56,2726,"OP"
"283",430.98,581,"OP"
"284",53.95,2421,"OP"
"285",84.05,11652,"OP"
"286",105.43,707,"OP"
"287",185.73,4914,"OP"
"288",141.62,1274,"OP"
"289",227.71,28,"OP"
"290",260.63,188,"OP"
"291",39.76,33,"OP"
"292",81.8,664,"OP"
"293",209.79,417,"OP"
"294",319.49,52,"OP"
"295",141.82,4286,"OP"
"296",93.11,45,"OP"
"297",106.4,3584,"OP"
"298",407.02,99,"OP"
"299",738.71,1709,"OP"
"300",126.63,450,"OP"
"301",535.69,104,"OP"
"302",93.47,108,"OP"
"303",229.83,74,"OP"
"304",412.23,128,"OP"
"305",493,392,"OP"
"306",233,4171,"OP"
"307",80.82,7426,"OP"
"308",85.45,2337,"OP"
"309",225.22,1150,"OP"
"310",155.08,2,"OP"
"311",82.3,62045,"OP"
"312",372.67,33,"OP"
"313",158.74,8,"OP"
"314",37.35,1173,"OP"
"315",31.76,524,"OP"
"316",85.85,2047,"OP"
"317",96.32,98,"OP"
"318",132.53,3068,"OP"
"319",266,5211,"OP"
"320",108.47,502,"OP"
"321",115.02,340,"OP"
"322",133.29,6,"OP"
"323",89.86,635,"OP"
"324",215.34,758,"OP"
"325",31.45,19014,"OP"
"326",497.4,13,"OP"
"327",70.21,3171,"OP"
"328",356.92,37,"OP"
