"id","pcn","geom"
47,"Barrow and Millom - M.Bay CCG","0103000020E61000000100000007000000AD1F726516EA09C082F50BB8DF114B408304BD1EE93F09C08D68755178154B4047825FD9BB9508C082F50BB8DF114B4047825FD9BB9508C04E854FA5AC0A4B408304BD1EE93F09C00995D12B12074B40AD1F726516EA09C04E854FA5AC0A4B40AD1F726516EA09C082F50BB8DF114B40"
48,"Bay Primary Care Network - M.Bay CCG","0103000020E61000000100000007000000E0E44C4D614107C082F50BB8DF114B40A462EF07349706C08D68755178154B407A473AC106ED05C082F50BB8DF114B407A473AC106ED05C04E854FA5AC0A4B40A462EF07349706C00995D12B12074B40E0E44C4D614107C04E854FA5AC0A4B40E0E44C4D614107C082F50BB8DF114B40"
17,"Blackburn East - BwD CCG","0103000020E61000000100000007000000D727CAEF7EEE03C0C48BAEA0A3DB4A409BA56CAA514403C03608319F45DF4A405E230F65249A02C0C48BAEA0A3DB4A405E230F65249A02C023BD66C15DD44A409BA56CAA514403C065F18BE0B9D04A40D727CAEF7EEE03C023BD66C15DD44A40D727CAEF7EEE03C0C48BAEA0A3DB4A40"
24,"Blackburn North - BwD CCG","0103000020E6100000010000000700000001437F36AC9804C0791E1EBA87E64A40D727CAEF7EEE03C069ABB3D627EA4A409BA56CAA514403C0791E1EBA87E64A409BA56CAA514403C03608319F45DF4A40D727CAEF7EEE03C0C48BAEA0A3DB4A4001437F36AC9804C03608319F45DF4A4001437F36AC9804C0791E1EBA87E64A40"
38,"Blackburn West - BwD CCG","0103000020E6100000010000000700000001437F36AC9804C02D0A58FE3EFC4A40D727CAEF7EEE03C078D75558DBFF4A409BA56CAA514403C02D0A58FE3EFC4A409BA56CAA514403C0AA3F466904F54A40D727CAEF7EEE03C07242322E66F14A4001437F36AC9804C0AA3F466904F54A4001437F36AC9804C02D0A58FE3EFC4A40"
13,"Blackpool Central - Blackpool CCG","0103000020E610000001000000070000008304BD1EE93F09C0C48BAEA0A3DB4A4047825FD9BB9508C03608319F45DF4A400A0002948EEB07C0C48BAEA0A3DB4A400A0002948EEB07C023BD66C15DD44A4047825FD9BB9508C065F18BE0B9D04A408304BD1EE93F09C023BD66C15DD44A408304BD1EE93F09C0C48BAEA0A3DB4A40"
20,"Blackpool Central West - Blackpool CCG","0103000020E61000000100000007000000AD1F726516EA09C0791E1EBA87E64A408304BD1EE93F09C069ABB3D627EA4A4047825FD9BB9508C0791E1EBA87E64A4047825FD9BB9508C03608319F45DF4A408304BD1EE93F09C0C48BAEA0A3DB4A40AD1F726516EA09C03608319F45DF4A40AD1F726516EA09C0791E1EBA87E64A40"
28,"Blackpool North - Blackpool CCG","0103000020E610000001000000070000008304BD1EE93F09C07242322E66F14A4047825FD9BB9508C0AA3F466904F54A400A0002948EEB07C07242322E66F14A400A0002948EEB07C069ABB3D627EA4A4047825FD9BB9508C0791E1EBA87E64A408304BD1EE93F09C069ABB3D627EA4A408304BD1EE93F09C07242322E66F14A40"
21,"Blackpool South - Blackpool CCG","0103000020E6100000010000000700000047825FD9BB9508C0791E1EBA87E64A400A0002948EEB07C069ABB3D627EA4A40E0E44C4D614107C0791E1EBA87E64A40E0E44C4D614107C03608319F45DF4A400A0002948EEB07C0C48BAEA0A3DB4A4047825FD9BB9508C03608319F45DF4A4047825FD9BB9508C0791E1EBA87E64A40"
37,"Bridgedale South Ribble - GP and CSR CCGs","0103000020E610000001000000070000007A473AC106ED05C02D0A58FE3EFC4A403DC5DC7BD94205C078D75558DBFF4A4001437F36AC9804C02D0A58FE3EFC4A4001437F36AC9804C0AA3F466904F54A403DC5DC7BD94205C07242322E66F14A407A473AC106ED05C0AA3F466904F54A407A473AC106ED05C02D0A58FE3EFC4A40"
26,"Burnley East - E.Lancs CCG","0103000020E6100000010000000700000034085A1EF7EF01C0791E1EBA87E64A40F885FCD8C94501C069ABB3D627EA4A40CE6A47929C9B00C0791E1EBA87E64A40CE6A47929C9B00C03608319F45DF4A40F885FCD8C94501C0C48BAEA0A3DB4A4034085A1EF7EF01C03608319F45DF4A4034085A1EF7EF01C0791E1EBA87E64A40"
39,"Burnley West - E.Lancs CCG","0103000020E610000001000000070000009BA56CAA514403C02D0A58FE3EFC4A405E230F65249A02C078D75558DBFF4A4034085A1EF7EF01C02D0A58FE3EFC4A4034085A1EF7EF01C0AA3F466904F54A405E230F65249A02C07242322E66F14A409BA56CAA514403C0AA3F466904F54A409BA56CAA514403C02D0A58FE3EFC4A40"
55,"Carnforth and Milnthorpe - M.Bay CCG","0103000020E61000000100000007000000A462EF07349706C0153E74A4A71C4B407A473AC106ED05C0B093345E3E204B403DC5DC7BD94205C0153E74A4A71C4B403DC5DC7BD94205C08D68755178154B407A473AC106ED05C082F50BB8DF114B40A462EF07349706C08D68755178154B40A462EF07349706C0153E74A4A71C4B40"
9,"Chorley and South Ribble Health Network - CSR CCG","0103000020E610000001000000070000007A473AC106ED05C065F18BE0B9D04A403DC5DC7BD94205C023BD66C15DD44A4001437F36AC9804C065F18BE0B9D04A4001437F36AC9804C0D2AA123C70C94A403DC5DC7BD94205C06FB65E78CAC54A407A473AC106ED05C0D2AA123C70C94A407A473AC106ED05C065F18BE0B9D04A40"
6,"Chorley Central (Chorley Collab Group) - CSR CCG","0103000020E610000001000000070000003DC5DC7BD94205C06FB65E78CAC54A4001437F36AC9804C0D2AA123C70C94A40D727CAEF7EEE03C06FB65E78CAC54A40D727CAEF7EEE03C0C6BEC70D7DBE4A4001437F36AC9804C0F241CF66D5BA4A403DC5DC7BD94205C0C6BEC70D7DBE4A403DC5DC7BD94205C06FB65E78CAC54A40"
16,"Chorley East - CSR CCG","0103000020E610000001000000070000003DC5DC7BD94205C0C48BAEA0A3DB4A4001437F36AC9804C03608319F45DF4A40D727CAEF7EEE03C0C48BAEA0A3DB4A40D727CAEF7EEE03C023BD66C15DD44A4001437F36AC9804C065F18BE0B9D04A403DC5DC7BD94205C023BD66C15DD44A403DC5DC7BD94205C0C48BAEA0A3DB4A40"
