"postcode","organisation_code","name","national_grouping","high_level_health_geography","address_line_1","address_line_2","address_line_3","address_line_4","address_line_5","open_date","close_date","status_code","organisation_sub_type_code","parent_organisation_code","join_parent_date","left_parent_date","contact_telephone_number","null_1","null_2","null_3","amended_record_indicator","null_4","current_care_organisation","null_5","null_6","null_7","pcd2","dointr","doterm","oseast100m","osnrth100m","oscty","odslaua","oslaua","osward","usertype","osgrdind","ctry","oshlthau","rgn","oldha","nhser","ccg","psed","cened","edind","ward98","oa01","nhsrlo","hro","lsoa01","ur01ind","msoa01","cannet","scn","oshaprev","oldpct","oldhro","pcon","canreg","pct","oseast1m","osnrth1m","oa11","lsoa11","msoa11","calncv","stp","geom"
"BB1 1TG","FVL11","TIMS AND PARKER","Y51","Q31","UNIT 4","AUDLEY SHOPPING CENTRE","AUDLEY RANGE, BLACKBURN","",,"20020801","20071231","C","1","P15J","20040401","20071231","01254 263069",,,,"0",,"5CC",,,,"BB1  1TG","198001",,"3695","4277","E99999999","324","E06000008","E05011508","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFQ02","LSFQ02","1","00EXMA","E00063396","Q84","Y51","E01012573","5","E02002621","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","369508","427721","E00171892","E01012573","E02002621","E56000018","E54000048","0101000020E610000076191E6BE7B503C0711A5B0A5BDF4A40"
"BB1 1TG","FAT35","WELL BLACKBURN - AUDLEY RANGE","Y62","Q84","UNIT 4,AUDLEY SHOPPING CT","AUDLEY RANGE","BLACKBURN","LANCASHIRE",,"20080101",,"A","1","P0MG","20180320",,"01254 263069",,,,"0",,"Q84",,,,"BB1  1TG","198001",,"3695","4277","E99999999","324","E06000008","E05011508","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFQ02","LSFQ02","1","00EXMA","E00063396","Q84","Y51","E01012573","5","E02002621","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","369508","427721","E00171892","E01012573","E02002621","E56000018","E54000048","0101000020E610000076191E6BE7B503C0711A5B0A5BDF4A40"
"BB1 1TG","FRJ30","AUDLEY LATE NIGHT PHARMACY","Y62","Q84","114-116 AUDLEY RANGE","BLACKBURN","LANCASHIRE","",,"20091005",,"A","1","P2T3","20091005",,"01254 263322",,,,"0",,"Q84",,,,"BB1  1TG","198001",,"3695","4277","E99999999","324","E06000008","E05011508","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFQ02","LSFQ02","1","00EXMA","E00063396","Q84","Y51","E01012573","5","E02002621","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","369508","427721","E00171892","E01012573","E02002621","E56000018","E54000048","0101000020E610000076191E6BE7B503C0711A5B0A5BDF4A40"
"BB1 1TH","FKG05","ADAMS PHARMACY","Y54","Q47","185 AUDLEY RANGE","BLACKBURN","","",,"20120629","20131011","C","1","P0W0","20120629","20131011","01254 675123",,,,"0",,"Q47",,,,"BB1  1TH","198001",,"3696","4277","E99999999","324","E06000008","E05011508","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFH13","LSFH13","1","00EXMA","E00063400","Q84","Y51","E01012571","5","E02002621","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","369613","427782","E00063400","E01012571","E02002621","E56000018","E54000048","0101000020E61000002AEBEAE4A7B203C08B580C356DDF4A40"
"BB1 2AF","FRJ87","ASTON PHARMACY","Y62","Q84","95 ACCRINGTON ROAD","BLACKBURN","LANCASHIRE","",,"19951101",,"A","1","P33X","20040401",,"01254 680133",,,,"0",,"Q84",,,,"BB1  2AF","198001",,"3701","4281","E99999999","324","E06000008","E05011508","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFH11","LSFH11","1","00EXMA","E00063417","Q84","Y51","E01012576","5","E02002622","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","370141","428102","E00063417","E01012576","E02002622","E56000018","E54000048","0101000020E6100000E86C68DB52A203C055A93D74CCDF4A40"
"BB1 2AQ","FV994","YOUR LOCAL BOOTS PHARMACY","Y62","Q84","193-195 ACCRINGTON ROAD","BLACKBURN","LANCASHIRE","",,"20000301",,"A","1","P08F","20040401",,"01254 53996",,,,"0",,"Q84",,,,"BB1  2AQ","198001",,"3704","4279","E99999999","324","E06000008","E05011518","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFH08","LSFH08","1","00EXMJ","E00063722","Q84","Y51","E01012640","5","E02002622","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","370413","427995","E00063722","E01012640","E02002622","E56000018","E54000048","0101000020E6100000DDBF1B10DB9903C067879A73ADDF4A40"
"BB1 2AW","FAY15","SHADSWORTH PHARMACY","Y62","Q84","221 SHADSWORTH ROAD","","BLACKBURN","",,"19951101",,"A","1","P33X","20190313",,"01254 691771",,,,"0",,"Q84",,,,"BB1  2AW","198001",,"3708","4279","E99999999","324","E06000008","E05011513","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFS02","LSFS02","1","00EXMS","E00063701","Q84","Y51","E01012640","5","E02002622","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","370828","427954","E00063701","E01012640","E02002622","E56000018","E54000048","0101000020E6100000E4722FD8F58C03C09D356025A2DF4A40"
"BB1 2EE","FT629","BEEHIVE PHARMACY","Y62","Q84","BEEHIVE TRADING PARK","HASLINGDEN ROAD","BLACKBURN","LANCASHIRE",,"20120404",,"A","1","P1ND","20120404",,"01254 53585",,,,"0",,"Q84",,,,"BB1  2EE","199912",,"3701","4262","E99999999","324","E06000008","E05011513","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFQ14","LSFQ14","1","00EXMQ","E00063670","Q84","Y51","E01012632","5","E02002625","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","370171","426246","E00171894","E01012632","E02002625","E56000018","E54000048","0101000020E6100000C972761A06A103C09350F6E5A9DD4A40"
"BB1 3HF","FWK32","TESCO PHARMACY","Y62","Q84","HILL STREET","BLACKBURN","LANCASHIRE","",,"20091130",,"A","1","P29F","20091130",,"01254 347447",,,,"0",,"Q84",,,,"BB1  3HF","198604",,"3698","4284","E99999999","324","E06000008","E05011508","1","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFH01","LSFH01","1","00EXMA","E00063413","Q84","Y51","E01012576","5","E02002622","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","369815","428425","E00063413","E01012576","E02002622","E56000018","E54000048","0101000020E61000009AAA062A83AC03C0B41B9BF62AE04A40"
"BB1 4LA","FV197","RISHTON PHARMACY","Y62","Q84","42 HIGH STREET","RISHTON","BLACKBURN","LANCASHIRE",,"19870401",,"A","1","P7CX","20040401",,"01254 883831",,,,"0",,"Q84",,,,"BB1  4LA","198001",,"3727","4303","E10000017","323","E07000120","E05005218","0","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UGFM03","LYFM03","1","30UGFM","E00127247","Q84","Y51","E01025072","6","E02005214","N01","N51","Q13","5G7","Y42","E14000758","Y1701","5NH","372795","430313","E00127247","E01025072","E02005214","E56000018","E54000048","0101000020E61000008C2237034E5003C00151EF655CE24A40"
