"id","names_uri","name1","name1_lang","name2","name2_lang","type","local_type","geometry_x","geometry_y","most_detail_view_res","least_detail_view_res","mbr_xmin","mbr_ymin","mbr_xmax","mbr_ymax","postcode_district","postcode_district_uri","populated_place","populated_place_uri","populated_place_type","district_borough","district_borough_uri","district_borough_type","county_unitary","county_unitary_uri","county_unitary_type","region","region_uri","country","country_uri","related_spatial_object","same_as_dbpedia","same_as_geonames","geom"
"osgb4000000074547827","http://data.ordnancesurvey.co.uk/id/4000000074547827","Ambleside",,"",,"populatedPlace","Town","337621","504558","17000","2000000","337026","502831","338514","505488","LA22","http://data.ordnancesurvey.co.uk/id/postcodedistrict/LA22",,,,"South Lakeland","http://data.ordnancesurvey.co.uk/id/7000000000012934","http://data.ordnancesurvey.co.uk/ontology/admingeo/District","Cumbria","http://data.ordnancesurvey.co.uk/id/7000000000013244","http://data.ordnancesurvey.co.uk/ontology/admingeo/County","North West","http://data.ordnancesurvey.co.uk/id/7000000000041431","England","http://data.ordnancesurvey.co.uk/id/country/england",,"http://dbpedia.org/resource/Ambleside","http://sws.geonames.org/2657360","0101000020E61000006021B5E979B407C0F354EB555F374B40"
"osgb4000000074547828","http://data.ordnancesurvey.co.uk/id/4000000074547828","Skelwith Bridge",,"",,"populatedPlace","Hamlet","334467","503501","5000","25000","333890","503062","334605","503892","LA22","http://data.ordnancesurvey.co.uk/id/postcodedistrict/LA22",,,,"South Lakeland","http://data.ordnancesurvey.co.uk/id/7000000000012934","http://data.ordnancesurvey.co.uk/ontology/admingeo/District","Cumbria","http://data.ordnancesurvey.co.uk/id/7000000000013244","http://data.ordnancesurvey.co.uk/ontology/admingeo/County","North West","http://data.ordnancesurvey.co.uk/id/7000000000041431","England","http://data.ordnancesurvey.co.uk/id/country/england",,"","","0101000020E610000037E1095D8E1708C0F595BD161B364B40"
"osgb4000000074541178","http://data.ordnancesurvey.co.uk/id/4000000074541178","Thickholme",,"",,"populatedPlace","Hamlet","340633","501352","5000","25000","340351","500943","340851","501672","LA23","http://data.ordnancesurvey.co.uk/id/postcodedistrict/LA23",,,,"South Lakeland","http://data.ordnancesurvey.co.uk/id/7000000000012934","http://data.ordnancesurvey.co.uk/ontology/admingeo/District","Cumbria","http://data.ordnancesurvey.co.uk/id/7000000000013244","http://data.ordnancesurvey.co.uk/ontology/admingeo/County","North West","http://data.ordnancesurvey.co.uk/id/7000000000041431","England","http://data.ordnancesurvey.co.uk/id/country/england",,"","","0101000020E6100000CC9A71AE145407C0DB27BA2BBB334B40"
"osgb4000000074547822","http://data.ordnancesurvey.co.uk/id/4000000074547822","Hallow Bank",,"",,"populatedPlace","Hamlet","346558","505209","5000","25000","346310","505063","346810","505563","LA8","http://data.ordnancesurvey.co.uk/id/postcodedistrict/LA8",,,,"South Lakeland","http://data.ordnancesurvey.co.uk/id/7000000000012934","http://data.ordnancesurvey.co.uk/ontology/admingeo/District","Cumbria","http://data.ordnancesurvey.co.uk/id/7000000000013244","http://data.ordnancesurvey.co.uk/ontology/admingeo/County","North West","http://data.ordnancesurvey.co.uk/id/7000000000041431","England","http://data.ordnancesurvey.co.uk/id/country/england",,"","","0101000020E6100000D8157D73999A06C04953847240384B40"
"osgb4000000074560818","http://data.ordnancesurvey.co.uk/id/4000000074560818","Barrow-in-Furness",,"",,"populatedPlace","Town","319872","469083","47000","2000000","317035","466728","323240","473937","LA14","http://data.ordnancesurvey.co.uk/id/postcodedistrict/LA14",,,,"Barrow-in-Furness","http://data.ordnancesurvey.co.uk/id/7000000000012941","http://data.ordnancesurvey.co.uk/ontology/admingeo/District","Cumbria","http://data.ordnancesurvey.co.uk/id/7000000000013244","http://data.ordnancesurvey.co.uk/ontology/admingeo/County","North West","http://data.ordnancesurvey.co.uk/id/7000000000041431","England","http://data.ordnancesurvey.co.uk/id/country/england",,"http://dbpedia.org/resource/Barrow-in-Furness","http://sws.geonames.org/2656241","0101000020E610000077EF52903BD109C055D455F2400E4B40"
"osgb4000000074560391","http://data.ordnancesurvey.co.uk/id/4000000074560391","Duddon Bridge",,"",,"populatedPlace","Hamlet","319763","488256","5000","25000","319474","487869","320123","488432","LA20","http://data.ordnancesurvey.co.uk/id/postcodedistrict/LA20",,,,"Copeland","http://data.ordnancesurvey.co.uk/id/7000000000012966","http://data.ordnancesurvey.co.uk/ontology/admingeo/District","Cumbria","http://data.ordnancesurvey.co.uk/id/7000000000013244","http://data.ordnancesurvey.co.uk/ontology/admingeo/County","North West","http://data.ordnancesurvey.co.uk/id/7000000000041431","England","http://data.ordnancesurvey.co.uk/id/country/england",,"http://dbpedia.org/resource/Duddon_Bridge","","0101000020E61000007ADB0B8A23DF09C0FE12767C4D244B40"
"osgb4000000074560173","http://data.ordnancesurvey.co.uk/id/4000000074560173","Strands",,"",,"populatedPlace","Hamlet","318735","484039","5000","25000","318122","483035","319066","484476","LA18","http://data.ordnancesurvey.co.uk/id/postcodedistrict/LA18",,,,"Copeland","http://data.ordnancesurvey.co.uk/id/7000000000012966","http://data.ordnancesurvey.co.uk/ontology/admingeo/District","Cumbria","http://data.ordnancesurvey.co.uk/id/7000000000013244","http://data.ordnancesurvey.co.uk/ontology/admingeo/County","North West","http://data.ordnancesurvey.co.uk/id/7000000000041431","England","http://data.ordnancesurvey.co.uk/id/country/england",,"","","0101000020E6100000C5D1CD381FFD09C0CDC02A926E1F4B40"
"osgb4000000074560386","http://data.ordnancesurvey.co.uk/id/4000000074560386","Arnaby",,"",,"populatedPlace","Hamlet","318287","484668","5000","25000","318039","484415","318539","484915","LA18","http://data.ordnancesurvey.co.uk/id/postcodedistrict/LA18",,,,"Copeland","http://data.ordnancesurvey.co.uk/id/7000000000012966","http://data.ordnancesurvey.co.uk/ontology/admingeo/District","Cumbria","http://data.ordnancesurvey.co.uk/id/7000000000013244","http://data.ordnancesurvey.co.uk/ontology/admingeo/County","North West","http://data.ordnancesurvey.co.uk/id/7000000000041431","England","http://data.ordnancesurvey.co.uk/id/country/england",,"","","0101000020E6100000B833DDC58C0B0AC090C5846C25204B40"
"osgb4000000074560175","http://data.ordnancesurvey.co.uk/id/4000000074560175","Whicham",,"",,"populatedPlace","Hamlet","313449","482745","5000","25000","312827","482294","313586","482913","LA18","http://data.ordnancesurvey.co.uk/id/postcodedistrict/LA18",,,,"Copeland","http://data.ordnancesurvey.co.uk/id/7000000000012966","http://data.ordnancesurvey.co.uk/ontology/admingeo/District","Cumbria","http://data.ordnancesurvey.co.uk/id/7000000000013244","http://data.ordnancesurvey.co.uk/ontology/admingeo/County","North West","http://data.ordnancesurvey.co.uk/id/7000000000041431","England","http://data.ordnancesurvey.co.uk/id/country/england",,"","http://sws.geonames.org/6620427","0101000020E6100000D2A00FAD70A20AC07AAB492BD51D4B40"
"osgb4000000074560171","http://data.ordnancesurvey.co.uk/id/4000000074560171","Lady Hall",,"",,"populatedPlace","Hamlet","319016","486051","5000","25000","318736","485720","319409","486220","LA18","http://data.ordnancesurvey.co.uk/id/postcodedistrict/LA18",,,,"Copeland","http://data.ordnancesurvey.co.uk/id/7000000000012966","http://data.ordnancesurvey.co.uk/ontology/admingeo/District","Cumbria","http://data.ordnancesurvey.co.uk/id/7000000000013244","http://data.ordnancesurvey.co.uk/ontology/admingeo/County","North West","http://data.ordnancesurvey.co.uk/id/7000000000041431","England","http://data.ordnancesurvey.co.uk/id/country/england",,"","","0101000020E61000009018957168F509C0C4286A6AC0214B40"
