"postcode","organisation_code","name","national_grouping","high_level_health_geography","address_line_1","address_line_2","address_line_3","address_line_4","address_line_5","open_date","close_date","null_1","organisation_sub_type_code","parent_organisation_code","null_2","null_3","contact_telephone_number","null_4","null_5","null_6","amended_record_indicator","null_7","gor_code","null_8","null_9","null_10","pcd2","dointr","doterm","oseast100m","osnrth100m","oscty","odslaua","oslaua","osward","usertype","osgrdind","ctry","oshlthau","rgn","oldha","nhser","ccg","psed","cened","edind","ward98","oa01","nhsrlo","hro","lsoa01","ur01ind","msoa01","cannet","scn","oshaprev","oldpct","oldhro","pcon","canreg","pct","oseast1m","osnrth1m","oa11","lsoa11","msoa11","calncv","stp","geom"
"BB1 1DW","RW5DI","AUDLEY SPORTS CENTRE","Y62","Q84","CHESTER STREET","","","BLACKBURN","","20181001",,,"","RW5",,,,,,,"0",,"B",,,,"BB1  1DW","198203",,"3690","4279","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE06","LSFE06","1","00EXMA","E00063403","Q84","Y51","E01012575","5","E02002621","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","369068","427941","E00063403","E01012575","E02002621","E56000018","E54000048","0101000020E61000005C0C6AB69CC303C02FCFEAFA9ADF4A40"
"BB1 1LX","RXRF8","THE SURGERY","Y62","Q84","1 WILLIAM HOPWOOD STREET","","","BLACKBURN","LANCASHIRE","20090401",,,"","RXR",,,,,,,"0",,"B",,,,"BB1  1LX","198803",,"3692","4278","E99999999","324","E06000008","E05011508","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFH13","LSFH13","1","00EXMA","E00063406","Q84","Y51","E01012575","5","E02002621","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","369297","427869","E00063406","E01012575","E02002621","E56000018","E54000048","0101000020E610000037C151777CBC03C0A1EC7C3886DF4A40"
"BB1 1LZ","RXRH5","CORNERSTONES PRACTICE","Y62","Q84","LAMBETH STREET","","","BLACKBURN","LANCASHIRE","20090401",,,"","RXR",,,,,,,"0",,"B",,,,"BB1  1LZ","198307",,"3694","4279","E99999999","324","E06000008","E05011508","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFH13","LSFH13","1","00EXMA","E00063402","Q84","Y51","E01012575","5","E02002621","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","369443","427957","E00063402","E01012575","E02002621","E56000018","E54000048","0101000020E610000077B2ED67F8B703C0E64B706BA0DF4A40"
"BB1 1SF","RXRA1","AUDLEY & QUEENS PARK CHILDREN'S CENTRE","Y62","Q84","PRINGLE STREET","","","BLACKBURN","LANCASHIRE","20090401",,,"","RXR",,,,,,,"0",,"B",,,,"BB1  1SF","198001",,"3694","4274","E99999999","324","E06000008","E05011508","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFQ04","LSFQ04","1","00EXMA","E00063411","Q84","Y51","E01012573","5","E02002621","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","369482","427496","E00063411","E01012573","E02002621","E56000018","E54000048","0101000020E6100000E461CC68AAB603C08CDDC0B918DF4A40"
"BB1 1XA","RW5RA","AUDLEY HEALTH CENTRE","Y62","Q84","LONGTON CLOSE","","","BLACKBURN","LANCASHIRE","20110401",,,"","RW5",,,,,,,"0",,"B",,,,"BB1  1XA","198001",,"3699","4280","E99999999","324","E06000008","E05011508","1","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFH12","LSFH12","1","00EXMA","E00063418","Q84","Y51","E01012576","5","E02002622","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","369983","428009","E00063418","E01012576","E02002622","E56000018","E54000048","0101000020E61000006F8ACD3336A703C038AB20C4B0DF4A40"
"BB1 2EG","RW5AG","ST IVES HOUSE","Y62","Q84","ACCRINGTON ROAD","INTACK","","BLACKBURN","LANCASHIRE","20020401",,,"","RW5",,,,,,,"0",,"B",,,,"BB1  2EG","200903",,"3709","4280","E99999999","324","E06000008","E05011513","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFS02","LSFS02","1","00EXMS","E00063701","Q84","Y51","E01012640","5","E02002622","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","370903","428024","E00063701","E01012640","E02002622","E56000018","E54000048","0101000020E6100000C641C314A58A03C064D74FE6B6DF4A40"
"BB1 2FD","RW5RV","INNOVATION CENTRE","Y62","Q84","1 EVOLUTION PARK","HASLINGDEN ROAD","","BLACKBURN","LANCASHIRE","20111001",,,"","RW5",,,,,,,"0",,"B",,,,"BB1  2FD","200801",,"3700","4264","E99999999","324","E06000008","E05011513","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFQ13","LSFQ13","1","00EXMQ","E00063670","Q84","Y51","E01012632","5","E02002625","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","370045","426411","E00171893","E01012632","E02002625","E56000018","E54000048","0101000020E6100000959950D1F7A403C088F54F41DADD4A40"
"BB1 2HR","RW5BN","SHADSWORTH CHILD DEVELOPMENT CENTRE","Y62","Q84","SHADSWORTH ROAD","","","BLACKBURN","LANCASHIRE","20181001",,,"","RW5",,,,,,,"0",,"B",,,,"BB1  2HR","198001",,"3702","4270","E99999999","324","E06000008","E05011513","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFS09","LSFS09","1","00EXMS","E00063704","Q84","Y51","E01012638","5","E02002622","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","370257","427073","E00063704","E01012638","E02002622","E56000018","E54000048","0101000020E610000025C6008A849E03C0647EDF9E9DDE4A40"
"BB1 2HR","RXR80","SHADSWORTH CHILDRENS CENTRE","Y62","Q84","SHADSWORTH ROAD","","","BLACKBURN","LANCASHIRE","20080401",,,"","RXR",,,,,,,"0",,"B",,,,"BB1  2HR","198001",,"3702","4270","E99999999","324","E06000008","E05011513","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFS09","LSFS09","1","00EXMS","E00063704","Q84","Y51","E01012638","5","E02002622","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","370257","427073","E00063704","E01012638","E02002622","E56000018","E54000048","0101000020E610000025C6008A849E03C0647EDF9E9DDE4A40"
"BB1 2PW","RXR84","NEWFIELD SCHOOL","Y62","Q84","OLD BANK LANE","","","BLACKBURN","LANCASHIRE","20071001",,,"","RXR",,,,,,,"0",,"B",,,,"BB1  2PW","200607",,"3700","4268","E99999999","324","E06000008","E05011513","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFS13","LSFS13","1","00EXMS","E00063714","Q84","Y51","E01012638","5","E02002622","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","370048","426809","E00063714","E01012638","E02002622","E56000018","E54000048","0101000020E61000005878C743F4A403C011F4E8794FDE4A40"
